DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(1.5m);Dir#1(1.5m);Speed#2(2.5m);Dir#2(2.5m);Speed#3(3.5m);Dir#3(3.5m);Speed#4(4.5m);Dir#4(4.5m);Speed#5(5.5m);Dir#5(5.5m);Speed#6(6.5m);Dir#6(6.5m);Speed#7(7.5m);Dir#7(7.5m);Speed#8(8.5m);Dir#8(8.5m);Speed#9(9.5m);Dir#9(9.5m);Speed#10(10.5m);Dir#10(10.5m);Speed#11(11.5m);Dir#11(11.5m);Speed#12(12.5m);Dir#12(12.5m)
3/08/2023 20:10;11.7;326.3;-8.7;8.9;15.424;19.36;0;0;0.068;119.95;0.12;155.79;0.122;163.35;0.141;161.44;0.128;154.63;0.061;138.99;0.033;75.96;0.057;7;0.119;335.16;0.043;9.46;0.04;25.28;0.112;335.26
3/08/2023 20:20;11.7;326.3;-8.7;8.9;15.405;19.34;0;0;0.073;214.35;0.122;161.86;0.1;148.84;0.151;119.28;0.143;153.79;0.091;180;0.084;170.43;0.094;156.72;0.025;323.13;0.025;310.1;0.074;341.08;0.085;0.67
3/08/2023 20:30;11.7;326.3;-8.7;8.9;15.434;19.33;0;0;0.106;169.11;0.169;170.15;0.098;174.75;0.084;166.95;0.148;168.69;0.139;153.07;0.076;174.74;0.05;184.57;0.024;270;0.066;315.62;0.049;312.51;0.052;318.92
3/08/2023 20:40;11.7;326.3;-8.7;8.9;15.421;19.34;0;0;0.085;129.29;0.1;150.11;0.127;144.93;0.12;149.36;0.121;128.96;0.056;143.75;0.032;163.81;0.027;214.29;0.015;301.61;0.026;2.2;0.134;350.12;0.135;351.03
3/08/2023 20:50;11.7;326.3;-8.7;8.9;15.326;19.36;0;0;0.06;188.67;0.075;173.91;0.053;104.3;0.072;128.78;0.092;159.59;0.108;156.04;0.095;162.14;0.036;184.76;0.041;316.97;0.072;353.66;0.096;317.53;0.155;315.78
3/08/2023 21:00;11.7;326.3;-8.7;8.9;15.332;19.36;0;0;0.096;145.65;0.051;175.52;0.083;180.69;0.112;161.73;0.053;132.71;0.081;142;0.061;208.24;0.018;257.47;0.044;5.19;0.087;319.18;0.102;309.45;0.121;334.07
3/08/2023 21:10;11.7;326.3;-8.7;8.9;15.305;19.34;0;0;0.132;122.97;0.078;102.61;0.103;115.32;0.085;129.29;0.065;147.53;0.043;169.22;0.047;162.72;0.062;180;0.033;225;0.057;293.86;0.08;300.72;0.082;326.89
3/08/2023 21:20;11.7;326.3;-8.7;8.9;15.283;19.31;0;0;0.089;141.84;0.055;135;0.104;136.95;0.061;136.33;0.087;112.42;0.058;133.6;0.055;180;0.033;231.07;0.049;167.09;0.03;302.62;0.143;330.75;0.093;321.53
3/08/2023 21:30;11.7;326.3;-8.7;8.9;15.302;19.24;0;0;0.041;101.31;0.05;131.73;0.103;108.08;0.136;105.77;0.105;141.93;0.13;158.36;0.102;157.47;0.111;161.57;0.031;191.31;0.06;343.66;0.052;0;0.082;345.11
3/08/2023 21:40;11.7;326.3;-8.6;8.9;15.228;19.24;0;0;0.146;115.51;0.092;147;0.079;114.62;0.096;168.57;0.071;174.37;0.046;193.74;0.018;132.71;0.014;347.91;0.028;55.18;0.062;342.15;0.085;321.23;0.053;339.19
3/08/2023 21:50;11.7;326.3;-8.7;8.9;15.225;19.22;0;0;0.065;104.25;0.046;137.64;0.045;138.58;0.031;128.37;0.031;119.05;0.069;149.32;0.057;180;0.052;159.83;0.056;157.07;0.019;263.99;0.079;301.09;0.188;320.39
3/08/2023 22:00;11.7;326.3;-8.6;8.9;15.192;19.21;0;0;0.184;99.05;0.017;162.65;0.081;119.74;0.081;148.07;0.103;155.92;0.071;138.43;0.049;126.63;0.026;136.55;0.017;45;0.058;28.77;0.058;5.91;0.059;318.45
3/08/2023 22:10;11.7;326.3;-8.7;8.9;15.136;19.21;0;0;0.09;114.29;0.058;89.01;0.095;82.13;0.117;135.69;0.075;166.89;0.058;223.6;0.027;162.9;0.007;90;0.053;315.76;0.047;341.57;0.067;322.28;0.122;336.37
3/08/2023 22:20;11.7;326.3;-8.7;8.9;15.115;19.2;0;0;0.104;150.73;0.163;144.26;0.082;140.46;0.122;143.7;0.062;170.69;0.088;168.18;0.102;179.44;0.075;189.21;0.053;187.52;0.032;187.13;0.086;316.42;0.093;318.93
3/08/2023 22:30;11.7;326.3;-8.7;8.9;15.039;19.19;0;0;0.136;113.36;0.078;131.88;0.131;190.11;0.07;213.92;0.104;160.35;0.081;138.48;0.038;115.2;0.013;282.99;0.04;246.61;0.084;306.73;0.13;319.35;0.111;321.58
3/08/2023 22:40;11.7;326.3;-8.7;8.9;14.981;19.19;0;0;0.076;150.07;0.119;106.14;0.063;154.65;0.09;158.55;0.063;142.77;0.076;146.31;0.06;235.78;0.077;261.03;0.076;270;0.063;294.52;0.049;320.79;0.14;298.22
